,year,sents
1813,1983-84,"This excludes the special loan assistance to States of Rs 1743 crores, which does not have any economic impact in the current year."
1814,1983-84,The larger deficit over Budget estimates in the current year has to be viewed against the background of weak demand in certain sectors of the economy.
1815,1983-84,That it has not had a destablising effect on the economy has been demonstrated by the price behaviour in recent months.
1816,1983-84,BUDGET ESTIMATES FOR 198384 36.
1817,1983-84,"In framing the next year’s Budget, Mr. Speaker, Sir, my aim has been to provide for a large increase in the Plan outlay so that the pace of development, which we have assiduously built up, is not retarded."
1818,1983-84,"Even this increase, I am acutely aware, cannot be expected to fully meet the demand from various sectors, however pressing they may seem."
1819,1983-84,"Some reordering of priorities among different objectives and sectors has, therefore become necessary."
1820,1983-84,"This constitutes an increase of 26.1 per cent over the Plan outlay of Rs 11,000 crores in the Budget estimates for 1982 83."
1821,1983-84,"Coming on top of an increase of 27.6 per cent provided in the Budget for 198283, the proposed increase would enable us to meet our urgent requirements in critical sectors of the economy, and also provide a special thrust in respect of programmes meant for the welfare of the weaker sections of the society."
1822,1983-84,The Central Plan will be financed by a budgetary support of Rs 8390 crores and internal and extra budgetary resources of Rs 5480 crores.
1823,1983-84,Hon’ble Members are aware that the finances of several States have been under severe strain for some time.
1824,1983-84,"While the need for fiscal discipline cannot be overemphasised, an important objective of the Central Government has been to 7 ensure that, despite resource constraints, the State Plans also show a reasonable order of increase."
1825,1983-84,"Hon’ble Members would recall that in June 1982, I decided to clear States’ closing deficits of the previous year with a medium term loan of Rs 1743 crores."
1826,1983-84,I did so to help the States to readjust their finances and achieve adequate investment in their plans.
1827,1983-84,"In the current year, the Centre has provided nearly Rs 700 crores of assistance to States for drought and flood relief."
1828,1983-84,"Further, we have decided to increase Central assistance to States in the next two years by Rs 1650 crores over the balance available in the originally approved level."
1829,1983-84,This will augment the Plan resources of the States.
1830,1983-84,The States have responded by agreeing to enhance their resource mobilisation efforts.
1831,1983-84,"The total Plan outlay for 198384 of the States and Union Territories is now placed at Rs 11,625 crores."
1832,1983-84,"This represents an increase of 16.4 per cent over the finally approved outlay of Rs 9989 crores in 198283, the highest increase so far in the current plan period."
1833,1983-84,Central assistance for the Plan of the States and Union Territories will be Rs 4462 crores.
1834,1983-84,"Taken together, the Plan outlays of the Centre, States and Union Territories for 198384 will be Rs 25,495 crores, an increase of 21.5 per cent over the finally approved outlay of Rs 20,989 crores in 198283."
1835,1983-84,"In formulating the 198384 Plan, our primary concern has been to provide maximum support to those projects and programmes which can be of immediate benefit to the economy, and especially to the weaker sections of society."
1836,1983-84,"The outlays for the Revised 20Point Programme have been enhanced, and a special thrust is being given to programmes that benefit the poor directly."
1837,1983-84,"I have also taken the somewhat unconventional step of providing an additional Rs 300 crores over and above Rs 13,570 crores set apart specifically for the various schemes in the next year’s Central Plan."
1838,1983-84,This amount will be provided as grants to the States on the basis of their better performance in implementing specific programmes.
1839,1983-84,These programmes will benefit the weaker sections of the community and improve the functioning of the State Electricity Boards.
1840,1983-84,"The cooperation of the States is essential and, wherever appropriate, the guidelines to be issued, would provide for matching contributions by them."
1841,1983-84,"Out of this allocation, I am earmarking Rs 125 crores to assist small and marginal farmers to improve the productivity of their land."
1842,1983-84,"My colleague, the Minister of Agriculture, will be announcing the details of the scheme."
1843,1983-84,"Another Rs 125 crores would be distributed among the States on the basis of their performance in implementing programmes in Identified areas of high priority, which the Government will announce later."
1844,1983-84,The assistance for these purposes would be made available only to those States which demonstrate capacity to achieve targets over and above those implied in their approved Plans.
1845,1983-84,I have had occasion in the past to underline the importance of obtaining maximum returns out of existing investments.
1846,1983-84,The need for increasing the plant load factors in thermal power stations cannot be overemphasised.
1847,1983-84,"I, therefore, propose to set apart the balance of Rs 50 crores out of Rs 300 crores for incentive payments to State Electricity Boards for better performance."
1848,1983-84,Most of the State Electricity Boards achieved their peak plant load factors during the years 197577.
1849,1983-84,"Unfortunately, their recent performance has fallen far short of these levels."
1850,1983-84,I hope that this incentive would encourage the State Electricity Boards to reach and even surpass their earlier peaks.
1851,1983-84,"Apart from the above special allocation, the outlay for the 20Point Programme in the Central Sector Plan for 198384 is Rs 2747 crores representing an increase of 26.8 per cent over the outlay in the current year’s Plan."
1852,1983-84,The provision for these schemes in the approved Plan outlay of the States and Union Territories for 198384 will be Rs 7332 crores.
1853,1983-84,"Hon’ble Members will be happy to know that the total provision for 20Point Programme next year will thus exceed Rs 10,000 crores."
1854,1983-84,Next year’s programme also provides a high priority to agricultural development.
1855,1983-84,The total outlay for this sector is Rs 608 crores.
1856,1983-84,This includes Rs 200 crores for the National Bank for Agriculture and Rural Development.
1857,1983-84,"Two major programmes, one for oil seeds development and another for dry land farming, both important elements in the 20Point Programme, will also be taken up for implementation in 1983 84."
1858,1983-84,"Further, a sum of Rs 800 crores is being provided for agricultural programmes in the approved Plan outlay of the States and Union Territories."
1859,1983-84,The outlays for irrigation and flood control are also being stepped up to Rs 116 crores in the Central Plan and Rs 2404 crores in the Plans of the States and Union Territories.
1860,1983-84,"The outlay for the National Rural Employment Programme, Integrated Rural Development Programme and other schemes of the Ministry of Rural Development would be Rs 480 crores in 1983 84 against the likely expenditure of Rs 419 crores in 1982 83."
1861,1983-84,The IRDP will enable about three million families in the rural areas to cross the poverty line.
1862,1983-84,The NREP will create about 350 million man days of work in the rural areas.
1863,1983-84,The provision for these programmes will be matched by the State Governments.
1864,1983-84,Hon’ble Members are aware that the Government has launched a crash programme for providing drinking water facilities in all problem villages.
1865,1983-84,The Plan outlay for 198283 visualised an allocation of Rs 127.5 crores by the Centre for the accelerated rural water supply programme.
1866,1983-84,Having regard to the progress in implementation the outlay has now been increased to Rs 155 crores.
1867,1983-84,A substantially higher outlay of Rs 200 crores has been provided for this programme in 198384.
1868,1983-84,"The States on their part will be setting apart Rs 319 crores and in all 48,000 more villages are expected to be covered in 198384."
1869,1983-84,One of the important programmes benefiting children is the Integrated 9 Child Development Services.
1870,1983-84,"With the higher target now set for the Sixth Plan, it is proposed to extend this scheme to 200 more projects in 198384 over and above the 620 projects so far covered."
1871,1983-84,Over half the total provision of Rs 60 crores for Department of Social Welfare will be accounted for by this scheme.
1872,1983-84,An increased provision of Rs 176 crores has been made in the Central Plan for 198384 for tile various programmes benefiting the Scheduled Castes and Scheduled Tribes.
1873,1983-84,The Family Welfare Programmes will be implemented with renewed vigour in 198384 and will cover 17 million persons.
1874,1983-84,A sum of Rs 330 crores is being provided for these programmes.
1875,1983-84,The Sixth Plan has placed considerable emphasis on accelerating investment in the Energy sector.
1876,1983-84,"The total outlay for this sector covering petroleum, power and coal would be Rs 5014 crores, accounting for more than 36 per cent of the total Central Plan outlay."
1877,1983-84,"Crude oil production is expected to reach 21 million tonnes this year, and increase further to around 26 million tonnes in 198384."
1878,1983-84,"Inclusive of the allocation for power development under Atomic Energy and Coal, the total outlay for the various power programmes in 198384 in the Central Plan will be Rs 1222 crores, representing an increase of 31.5 per cent over that for 198283."
1879,1983-84,"The target for addition to the capacity in 198384 in the Central Sector will be 1050 MW, double that of the current year."
1880,1983-84,"The outlay for Coal sector, including lignite, will be Rs 946 crores in 198384."
1881,1983-84,"The target for production of coal is 142 million tonnes, 9 million tonnes more than in the current year."
1882,1983-84,The provision for the various programmes of the Department of Steel in the Plan for 1983 84 is Rs 820 crores.
1883,1983-84,The Plan outlay of the Mines Department has been increased to R s. 494 crores in 198384 compared to Rs 292 crores in the current year’s approved Plan outlay.
1884,1983-84,This includes Rs 365 crores for the Orissa Aluminium Project.
1885,1983-84,"The revenue earning traffic to be carried by the Railways in 198384 is projected at 241 million tonnes, which is an increase of more than six per cent over the likely performance in 198283."
1886,1983-84,The Plan outlay for the Railways in 198384 is Rs 1342 crores.
1887,1983-84,The traffic handled at the ports is expected to increase to 105 million tonnes in 198384 as against 95 million tonnes likely to be reached in 198283.
1888,1983-84,"Inclusive of a provision of Rs 90 crores for the Nhava Sheva Project, and Rs 40 crores for investment in State Road Transport Corporations, a total outlay of Rs 558 crores has been set apart for the Shipping and Transport Ministry in 1983 84."
1889,1983-84,An outlay of Rs 429 crores has been provided for the various projects of 10 the Ministry of Chemicals and Fertilizers.
1890,1983-84,This includes Rs 260 crores for the Thal Vaishet Fertilizer project.
1891,1983-84,For the Hazira Fertilizer Project a provision of Rs 145 crores has been made.
1892,1983-84,The total provision for the projects of the Ministry of Industry in 198384 is Rs 549 crores compared with Rs 480 crores in the current year.
1893,1983-84,"Of this, the provision for small industries, including KVIC and coir, is about Rs 173 crores."
1894,1983-84,A provision of Rs 72 crores has been made for the various Plan programmes of the Department of Science and Technology and the Council of Scientific and Industrial Research in 198384.
1895,1983-84,The Government has recently set up a separate Department of Non Conventional Energy Sources.
1896,1983-84,"The programmes to be undertaken by this Department in 198384 would include, inter alia, establishment of 75,000 family size biogas units and 100 community biogas units."
1897,1983-84,"Inclusiveof the provision of Rs 18 crores for the biogas programme, an outlay of Rs 30 crores has been set apart for this Department in the Plan for 198384."
1898,1983-84,"Mr. Speaker, it has been my effort to contain the growth in the nonPlan expenditure."
1899,1983-84,"However, increases in certain important sectors have been inevitable."
1900,1983-84,"Taking into account the requirements of the country’s defence, a provision of Rs 5971 crores has been made for Defence against Rs 5350 crores in the Revised estimates for the current year."
1901,1983-84,"Due to increase in borrowings which are mainly used for development purposes and also higher borrowing costs, the provision for interest is placed at Rs 4700 crores against Rs 3950 crores in the Revised estimates for the current year."
1902,1983-84,The provision for food subsidy at Rs 800 crores will be higher by Rs 90 crores compared with the Revised estimates for the current year.
1903,1983-84,The provision for subsidy on indigenous fertilisers is estimated to go up from Rs 550 crores in the current year to Rs 700 crores next year.
1904,1983-84,A provision of Rs 550 crores has been made for cash compensatory support and market development assistance for exports.
1905,1983-84,The provision for Technical Credits under RupeeTrade Agreements is Rs 600 crores next year as against Rs 1280 crores in the current year.
1906,1983-84,"A lump sum of Rs 300 crores is being provided in 198384 for payment of additional instalments of dearness allowance, pension and other reliefs to Central Government employees."
1907,1983-84,"The House would recall that last year, I had announced certain enhanced benefits for low paid pensioners."
1908,1983-84,I propose to provide some additional relief to this category of pensioners.
1909,1983-84,"From lst April 1983, the minimum amount of pension, including dearness relief, will be raised to Rs 160 per month and the minimum amount of family pension including dearness relief to Rs 150 per month."
1910,1983-84,"The total nonPlan expenditure in 198384 is estimated at Rs 21,984 crores against Rs 20,511 crores in Revised estimate 198283."
1911,1983-84,At this point I would like to refer to it matter concerning Government employees.
1912,1983-84,The employees had suggested some time ago that the Government may 11 appoint a Pay Body for revising pay scales.
1913,1983-84,The Third Pay Commission was appointed in April 1970 and made its report in 1973.
1914,1983-84,"Since then, over the years conditions have changed in several respects."
1915,1983-84,The employment under the Central Government has grown steadily larger.
1916,1983-84,"Changes have also taken place in the relativities in the emoluments of the employees of departments inter se, and also visavis other employees."
1917,1983-84,"For instance several State Governments have, through gay committees or Pay Commissions, sub stantially revised the pay scales and other benefits of their employees."
1918,1983-84,The Government feels it would be appropriate now to appoint the Fourth Central Pay Commission.
1919,1983-84,"Before the terms of reference of the Pay Commission are settled, the representatives of the employees would be consulted."
1920,1983-84,The membership of the Commission together with the terms of reference will be announced as soon as possible.
1921,1983-84,"So far as receipts in 198384 are concerned, the gross tax revenues at the existing rates of taxation are estimated at Rs 19,964 crores compared with Rs 17,910 crores in the Revised estimates."
1922,1983-84,The States’ share of taxes in 198384 is estimated at Rs 5088 crores compared with Rs 4639 crores in the current year.
1923,1983-84,"The net tax revenue of the Centre will thus be Rs 14,876 crores against Rs 13,271 crores in the current year."
1924,1983-84,The receipts from market loans are placed at Rs 4000 crores compared with R s. 3800 crores in the current year.
1925,1983-84,The recoveries of Technical Credits next year will be lower as the payments will also be less.
1926,1983-84,Small savings collections are expected to yield Rs 1700 crores next year against Rs 1550 crores this year.
1927,1983-84,"External assistance, net of loan repayments, is estimated at Rs 1940 crores against Rs 1724 crores in the current year."
1928,1983-84,"Taking into account these and other variations in receipts, the total receipts for 198384 are estimated at Rs 32,586 crores."
1929,1983-84,"These receipts include the effect of the changes in fare and freight rates of the Railways and in the Posts and Telegraphs tariffs as well as the continuance of the Compulsory Deposit Scheme for incometax payers beyond 31st March 1983, to which I shall refer later."
1930,1983-84,"The total expenditure is placed at Rs 34,836 crores."
1931,1983-84,The overall budgetary gap at existing rates of taxation will thus be Rs 2250 crores.
1932,1983-84,"Mr. Speaker, Sir, it is against the background of this review of budgetary outturn that I place my budget proposals before Hon’ble Members."
1933,1983-84,The Budget is more than an exercise in raising revenue or financing outlays.
1934,1983-84,"In a planned economy, it represents a potent instrument for achieving national objectives and sustaining the pace of development through appropriate financial and fiscal policies."
1935,1983-84,"I would, therefore, like to share with Hon’ble Members the philosophy of my budget."
1936,1983-84,"It aims at strengthening the productive forces in the economy, keeping a tight rein on inflation, encouraging savings both in the individual and corporate sectors and promoting essential investment."
1937,1983-84,The encouragement of savings has its corollary in discouraging 12 consumption.
1938,1983-84,Conspicuous consumption whether at individual or the corporate level has no place in a society such as ours.
1939,1983-84,"I have also taken this opportunity to review the effect of certain incentives and concessions in the tax law, and to modify them where appropriate."
1940,1983-84,"As we are placed now, the Budget must reflect the imperatives of attaining as speedily as possible a viable external payment situation and, therefore, seek to promote exports and effect economies in imports through a judicious use of the fiscal instrument."
1941,1983-84,"Within this overall framework, it has been my objective to keep the budgetary deficit for the next year relatively low."
1942,1983-84,"While it has been necessary to raise additional resources, I have tried to do so in a noninflationary way and without subjecting the low and middle income groups to additional burdens."
1943,1983-84,I shall first deal with my proposals in the area of noncorporate income taxes.
1944,1983-84,My aim is to provide some relief at the lower end of the slabs and specially to the salaried taxpayer.
1945,1983-84,"At the same time, it has been my endeavour to promote savings at the expense of consumption."
1946,1983-84,With this end in view I am providing for a more liberal application of the exemptions pertaining to savings.
1947,1983-84,Coming to my specific proposals let me begin with the unpleasant bit.
1948,1983-84,I propose an increase in the surcharge in the incometax on noncorporate taxpayers from the present level of 10 per cent to 12.5 per cent.
1949,1983-84,"The revenue yield from this measure would be Rs 47 crores in a, full year and Rs 37.6 crores in 198384."
1950,1983-84,This will accrue wholly to the Centre.
1951,1983-84,Considering the increased burden cast on the Centre on account of additional expenditure on national security and special assistance to the States.
1952,1983-84,Hon’ble Members will agree that this measure is justified.
1953,1983-84,Now for the good news.
1954,1983-84,"As a measure of relief to the salaried taxpayer I am proposing that the ceiling of standard deduction be increased from the present Rs 5,000 to Rs 6,000."
1955,1983-84,The revenue loss as a result of this proposal is expected to be Rs 19 crores in a fun year and Rs 15.2 crores in 198384.
1956,1983-84,In recent years we have increased the exemption limits in respect of income tax.
1957,1983-84,"It has, however, been pointed out to me, with some justification, that the tax rate in the initial slab is somewhat high."
1958,1983-84,"I accordingly propose to split the initial slab, and for the first slab between Rs 15,001 and Rs 20,000 the tax rate will be 25 per cent instead of 30 per cent."
1959,1983-84,"The present rate of 30 per cent will, however, continue to apply to the slab Rs 20,001 to Rs 25,000."
1960,1983-84,"For the next slab between Rs 25,001 and Rs 30,000 the rate will be raised by 1 percentage point to 35 per cent."
1961,1983-84,"Even after the increase in rate of surcharge, individuals and certain categories of Hindu undivided families, etc. in the lower income slabs will pay less tax than at present."
1962,1983-84,The revenue effect of these proposals would be a loss of Rs 35 crores in a full year and Rs 28 crores in 198384.
1963,1983-84,"As a measure to stimulate savings, I propose to remove the ceiling of 30 per cent of gross total income in respect of savings in specified forms like life insurance, 13 provident funds, etc., while retaining the absolute monetary ceilings."
1964,1983-84,"Further, I intend widening the available media for savings by including National Savings Certificates, VI and VII issues."
1965,1983-84,This would be particularly helpful to those past middle age and towards the end of their working lives who might find it difficult to take advantage of life insurance and other contractual forms of savings.
1966,1983-84,The revenue loss from this measure is expected to be Rs 15 crores in a full year and Rs 12 crores next year.
1967,1983-84,"Income derived from specified longterm investments is exempt at present up to Rs 4,000 with an additional exemption of Rs 2,000 for interest on securities and bank deposits for a period exceeding one year."
1968,1983-84,"As a measure of simplification, I propose to merge these separate exemption limits and raise it from Rs 6,000 to Rs 7,000."
1969,1983-84,"The existing separate exemption of Rs 3,000 in respect of income from units of the Unit Trust of India will continue unchanged."
1970,1983-84,"As a result of these proposals, the aggregate of specified investment income which is exempt from tax would go up from Rs 9,000 to Rs 10,000."
1971,1983-84,This should help to stimulate savings further.
1972,1983-84,Hon’ble Members would appreciate that in sum the effect of the above proposals would be such as not to increase the tax liability of assessees in the lower brackets of the tax scale notwithstanding the increase in the surcharge.
1973,1983-84,"As for the rest, as I intend the surcharge primarily to affect consumption rather than savings I have sought to combine the surcharge with measures designed to increase personal savings in specified financial assets."
1974,1983-84,"I propose to extend the operation of the Compulsory Deposit Scheme Incometax Payers Act, 1974, by a period of two years."
1975,1983-84,"At present, persons over 70 years of age are exempted from the requirement of making deposits."
1976,1983-84,I propose to lower this limit from 70 to 65 years.
1977,1983-84,"Those who attain the age of 65 years on 1st April, 1983, would be entitled to withdraw, at their option, the balance of the deposits to their credit, on or after 1st June, 1983."
1978,1983-84,At present no tax on capital gains is charged in cases where the net consideration received on transfer of a capital asset is invested in 7Year National Rural Development Bonds.
1979,1983-84,It has been pointed out to me that this maturity period is rather long.
1980,1983-84,"In order to provide investment choices and with a view to ensuring that resources flow into desired directions, I propose to extend the exemption to cover investment of the net consideration in a new Central Government Bond of 3 years’ maturity."
1981,1983-84,"As I indicated earlier, I have decided to liberalise further the tax incentives in respect of nonresident Indians investing in India."
1982,1983-84,I propose to levy a flat rate of tax of 20 per cent plus surcharge on incomes derived by such persons from their specified investments in India made through foreign exchange remittances.
1983,1983-84,"These investments will include shares and debentures of Indian companies, units of the Unit Trust of 14 India and Government securities."
1984,1983-84,Longterm capital gains arising on transfer of such assets will also attract tax at the proposed flat rate.
1985,1983-84,Such incomes will also not be taken into account in computing their other Indian incomes.
1986,1983-84,"They would not have to go through the procedures involved in submission of tax returns, provided they have no other income in India and tax at the proposed flat rate has been deducted from their income."
1987,1983-84,These non residents will also have the option of paying tax at the normal rates applicable to resident taxpayers.
1988,1983-84,Such investments will also be exempt from wealth tax.
1989,1983-84,Gifts of such assets made by Indian citizens and persons of Indian origin settled abroad to their relatives in India will also be exempt from gift tax.
1990,1983-84,I shall now deal with my proposals in respect of the corporation tax.
1991,1983-84,Earlier in my speech I had referred to the need to accelerate investment through higher internal generation by companies and curbing conspicuous consumption.
1992,1983-84,I believe that both the Government and the companies can contribute towards this objective.
1993,1983-84,"It has been pointed out to me by several committees and representative organisations of industry that given the rising costs of replacement and modernisation, the internal funds available with the corporate sector are inadequate."
1994,1983-84,I find substance in this argument.
1995,1983-84,"Accordingly, I propose to increase the general rate of depreciation in respect of plant and machinery from 10 per cent to 15 per cent."
1996,1983-84,"I am also raising the monetary limit for 100 per cent writeoff from the present level of Rs 750 to Rs 5,000 in respect of small items of plant and machinery."
1997,1983-84,The other related benefits which new investment in plant and machinery now enjoy will continue.
1998,1983-84,The revenue loss on account of liberalisation of provisions relating to depreciation would be Rs 140 crores in a full year and Rs 112 crores in 198384.
1999,1983-84,Hon’ble Members would recall that last year I had proposed to allow depreciation at 30 per cent of the cost of devices and systems for energy saving and for minimising environmental pollution and for conservation of natural resources.
2000,1983-84,I propose to go farther and allow 100 per cent depreciation on devices and systems for energy saving.
2001,1983-84,"In regard to devices and systems for minimising environmental pollution and for conservation of natural resources, I propese to raise the investment allowance from 25 per cent to 35 per cent."
2002,1983-84,"To encourage industries to shift from urban areas and as a measure of decongesting our overcrowded cities and reducing pollution, the capital gain arising from transfer of buildings or lands used for the purposes of business is exempt from tax if it is used for acquiring lands or constructing buildings for the purposes of business at the new place."
2003,1983-84,I propose to extend this exemption from tax.
2004,1983-84,I had occasion earlier to refer to the lowering of the interest rate structure.
2005,1983-84,"As my contribution to the relief being provided by banks and with a view to encouraging production and investment, I propose to reduce the rate of tax charged under the 15 Interesttax Act to half of the prevailing rate."
2006,1983-84,"In respect of the chargeable interest arising after 31st March, 1983, the rate of interesttax will be reduced from seven per cent to three and a half per cent."
2007,1983-84,About half of the loss of Rs 130 crores on account of this measure will be recouped by the additional tax revenue as a consequence of the lower deductible cost of borrowing to business and industry.
2008,1983-84,My other important objective in respect of the corporate tax structure is to provide incentive for higher production and exports.
2009,1983-84,"I am, therefore, continuing the two schemes announced last year and making them more liberal."
2010,1983-84,"As regards the scheme for excess production, I will come to the details later while discussing my proposals in respect of indirect taxes."
2011,1983-84,In respect of exports the scheme announced by me last year provided some tax relief to exporters whose export turnover for any year exceeded that of the immediately preceding year by more than 10 per cent.
2012,1983-84,The total relief available under last year’s scheme was also subject to a maximum of 10 per cent of tax payable.
2013,1983-84,I now propose to simplify and liberalise the scheme and remove both the minimum qualifying amount and limit of relief.
2014,1983-84,Exporters will be entitled to deduct 5 per cent of their incremental turnover in computing their taxable income.
2015,1983-84,"Thus, under the new scheme all increments in export turnover will be entitled to relief."
2016,1983-84,Exports of all goods will qualify for this concession excepting a few specified items.
2017,1983-84,"As the new provision will take effect from the assessment year 198384, the provision made last year is proposed to be deleted."
2018,1983-84,"Hon’ble Members must be aware of the phenomenon of companies which are flourishing, but are paying no tax at all, or only a nominal tax."
2019,1983-84,This is largely due to these companies availing of the tax incentives and concessions available under the provisions of the Incometax Act.
2020,1983-84,It has been a matter of concern to us that under our tax system several highly profitable companies are able to reduce their tax liability to zero even though they continue to pay high dividends.
2021,1983-84,It seems reasonable that profitable and prosperous companies should contribute at least a small portion of their profits to the national exchequer at a time when other and less better off sections of society are bearing a burden.
2022,1983-84,I therefore propose to provide that fiscal incentives and concessions shall not absorb more than 70 per cent of the profits.
2023,1983-84,"This would secure that companies pay a minimum tax, on at least 30 per cent of their profits."
2024,1983-84,The differential rates of tax in the case of domestic companies depending upon the total income of the company are proposed to be removed.
2025,1983-84,"As a measure of simplification, I propose to levy incometax at a flat rate of 25 per cent on the gross amount of interest received by foreign companies on loans advanced by them in foreign currency."
2026,1983-84,The incometax payable by companies at present bears a surcharge of 2.5 per cent of such incometax.
2027,1983-84,I propose to raise the rate of surcharge to 5 per cent.
2028,1983-84,"However, in lieu of the additional surcharge payable by them, companies will be offered the option to make deposits with the Industrial Development Bank of India under a scheme to be notified by the Government."
2029,1983-84,I am not taking credit for any revenue gain from this measure in the expectation that the additional surcharge would in fact be deposited by the companies with Industrial Development Bank of India.
2030,1983-84,The amount so deposited should help to provide funds for modernisation and thus flow back to the corporate sector.
2031,1983-84,Our corporate tax structure is riddled with a large number of different kinds of deductions.
2032,1983-84,"While each deduction may seem to have a merit the aggregate effect is to complicate tax administration, provide opportunities for misuse and reduce the growth of revenues."
2033,1983-84,"As a step towards rationalisation of this structure, I have reviewed the various deductions."
2034,1983-84,"The Incometax Act at present provides for weighted deduction of expenses incurred by a company or a cooperative society which uses products of agriculture, animal husbandry, dairy or poultry farming as raw material."
2035,1983-84,The expenses in respect of which weighted deduction is allowed do not relate directly to the assessee’s business.
2036,1983-84,I propose to provide that such companies or cooperative societies would henceforth be entitled only to the deduction of expenses and not to the weighted deduction.
2037,1983-84,The Incometax Act provides deductions for expenditure or contributions made by assessees for approved programmes of rural development.
2038,1983-84,"Ongoing programmes approved by’ the prescribed authority will continue to enjoy the benefits of the deduction upto the terminal date in respect of time bound programmes and February 28, 1984 in other cases."
2039,1983-84,"However, with a view to preventing possibility of misuse, it is proposed not to allow any further deductions on this score."
2040,1983-84,It is not the intention of the Government to deprive genuine rural development programmes of corporate support.
2041,1983-84,"The Government would shortly establish a fund called the Prime Minister’s Fund for Rural Development, contributions to which would enjoy exemption under the Incometax Act."
2042,1983-84,"The special deduction allowed hitherto in respect of profits and gains from business of livestock breeding or poultry or dairy farming and from business of growing mushrooms, is proposed to be withdrawn."
2043,1983-84,"I see little justification for continuing this fiscal concession to these businesses, in view of the room for abuse."
2044,1983-84,"However, in order to encourage and strengthen primary cooperatives for oilseeds, fruits and vegetables, I propose to provide full exemption from tax for such cooperatives as in the case of dairy cooperatives."
2045,1983-84,The tax concession in relation to horizontal transfer of technology was introduced in 1969.
2046,1983-84,The objective was to discourage repetitive import of foreign technology.
2047,1983-84,I find that the concession has lent itself to be used for tax avoidance.
2048,1983-84,"I, therefore, propose to withdraw this concession effective from assessment year 198485."
2049,1983-84,"Hon’ble Members must be aware of lavish and wasteful expenditure by trade and industry, particularly on travelling, advertisement and the like."
2050,1983-84,"With a view to inculcating a climate of austerity and providing a disincentive to unproductive, avoidable and ostentatious spending by trade and industry, I propose to provide that 20 per cent of such expenditure will be disallowed in computing the taxable profits."
2051,1983-84,The Incometax Act provides for the disallowance of entertainment expenses beyond a ceiling and for total disallowance of expenses on maintenance of guest houses.
2052,1983-84,I proposeto define the terms “entertainment expenditure” and “guest house” to remove doubts about the correct import of these expressions.
2053,1983-84,The revenue from these measures in a full year will be Rs 50 crores and in 198384 Rs 40 crores.
2054,1983-84,"The effect of these measures, combined with the increase in depreciation allowance, will be to provide a marked preferential tax treatment of investment as against unproductive expenditure."
2055,1983-84,"Several cases have come to notice where taxpayers do not discharge their statutory liability such as in respect of excise duty, employer’s contribution to provident fund, Employees’ State Insurance Scheme, for long period of time."
2056,1983-84,"For the purpose of their incometax assessments, they nonetheless claim the liability as deduction even as they take resort to legal action, thus depriving the Government of its dues while enjoying the benefit of nonpayment."
2057,1983-84,"To curb such practices I propose to provide that Irrespective of the method of accounting followed by the taxpayers, a statutory liability will be allowed as a deduction in computing the taxable profits only in the year and to the extent it is actually paid."
2058,1983-84,This would result in a revenue gain of Rs 100 crores in a full year and Rs 80 crores in 1983 84.
2059,1983-84,It has come to my notice that some persons have been trying to avoid personal wealthtax liability by forming closelyheld companies to which they transfer many items of their wealth.
2060,1983-84,"As companies are not chargeable to wealthtax, and the value of the shares of such companies does not also reflect the real worth of the assets of the company, those who hold such unproductive assets in closely held companies are able to successfully reduce their wealthtax liability to a substantial extent."
2061,1983-84,"With a view to circumventing tax avoidance by such persons, I propose to revive the levy of wealthtax in a limited way in the case of closelyheld companies."
2062,1983-84,"Accordingly, I am proposing the levy of wealthtax in the case of closelyheld companies at the rate of 2 per cent on the net wealth represented by the value of specified assets, such as, jewellery."
2063,1983-84,Buildings used by the company as factory.
2064,1983-84,"The sum of my proposals in respect of the corporate sector, the Hon’ble Members would appreciate is to ensure that every profitable company pays some tax in the year in which profits accrue, that loopholes are plugged and the number of deductions is reduced, that more funds are available for modernisation and re investment, that costs are reduced through lower interest charges and reduction in 18 conspicuous expenses, and that higher production, particularly for exports, receives due encouragement."
2065,1983-84,Many charitable and religious trusts and institutions no doubt do laudable work.
2066,1983-84,"Unfortunately, it is also true that many are used as a medium for tax avoidance, accumulation of wealth and means of patronage and I cannot remain a disinterested spectator."
2067,1983-84,It is time some steps were taken to set matters right.
2068,1983-84,"The Taxation Laws Amendment Act, 1975 had laid down an investment pattern for trust funds, and trusts which failed to comply with this investment pattern from accounting years commencing after 31st March, 1978 were liable to forfeit tax exemption."
2069,1983-84,"However, having regard to the practical difficulties involved and to ensure a more orderly changeover, this date was extended in 1977 by three years."
2070,1983-84,"As the whole gamut of the provisions relating to charitable and religious trusts was under consideration by the Economic Administration Reforms Commission, the date for the new pattern of investment was again extended last year by a further period of one year."
2071,1983-84,I have since considered the matter carefully.
2072,1983-84,"I see no justification for permitting investment of trust funds in business concerns, including shares of companies in the private sector."
2073,1983-84,"I accordingly propose to provide that all trust funds should be invested in specified modes, such as."
2074,1983-84,"Government securities, units of the Unit Trust of India, deposits with scheduled banks, approved financial corporations, etc. investment in immovable properties will, however, continue to be allowed."
2075,1983-84,"I am giving notice to all charitable and religious trusts to divest their share holdings and other investment in business concerns by 30th November, 1983."
2076,1983-84,"However, trusts will be allowed to keep shares in companies, which formed part of the original corpus as on June 1, 1973 and bonus shares received up to that date."
2077,1983-84,Some trusts carry on business on commercial lines and derive income there from.
2078,1983-84,There is no reason why such business income should not be brought to tax.
